id  ra_pix dec_pix major minor pa  ra_hms    dec_dms     maj_as min_as vmin_kms vmax_kms collide v1   v2   v_ang good date        center_vel expansion_vel radius_pc r_kpc   R_kpc   alpha_deg N_HI_cm2    h_pc    n_HI_cm3 dot_e_bubble SN_num   M_sweep_g  p_rad_cgs  p_perSN_cgs turb_v_min_kms turb_v_max_kms SN_weaver SN_chevalier SN_hybrid SN_weaver_original n_HI_center_cm-3 n_HI_ellipse_cm-3 n_HI_ring_cm-3
1   2018   568     25    25    0   0:38:56.0 +39:58:02.7 120    120    -490     -440     0       -478 -455 68    pv   250407-1507 -466.5     11.5          432       23.8362 23.9777 75.808    7.39132e+20 565.643 0.048991 3.6663e-29   2.53222  1.0444e+39 1.2011e+45 4.7431e+44  8.66426        15.5964        5.06444   9.22343      5.06444   2.53222            0.0345007        0.0369575         0.0347573     
2   2125   579     26    22    0   0:38:12.8 +39:59:08.3 110    110    -530     -480     0       -515 -500 68    pv   250407-1510 -507.5     7.5           396       21.0489 21.0675 83.4263   9.68498e+20 519.08  0.069952 1.5824e-29   1.18453  1.1486e+39 8.6148e+44 7.2727e+44  11.4923        13.4877        2.36906   5.759        2.36906   1.18453            0.0492621        0.0554762         0.0530005     
3   2210   590     36    33    0   0:37:35.8 +40:00:00.4 150    115    -550     -500     0       -542 -514 98    pv   250407-1529 -528       14            540       20.5737 20.6148 89.2075   1.08532e+21 511.837 0.079499 1.1863e-28   11.8943  3.3101e+39 4.6341e+45 3.8961e+44  13.4418        16.0898        23.7886   41.9111      23.7886   11.8943            0.0559854        0.0625344         0.0542804     
4   1955   610     23    20    130 0:39:25.7 +40:01:32.9 110    70     -480     -425     0       -465 -440 158   pv   250407-1554 -452.5     12.5          396       24.4533 24.3532 72.8341   7.27136e+20 571.651 0.047689 4.5351e-29   2.24318  7.8308e+38 9.7884e+44 4.3636e+44  8.06607        15.2805        4.48636   7.66633      4.48636   2.24318            0.033584         0.0352354         0.0345439     
5   2260   626     35    34    90  0:37:14.8 +40:01:43.6 165    140    -545     -500     0       -538 -504 98    pv   250407-1621 -521       17            594       21.0694 21.0806 93.8225   1.15966e+21 519.29  0.083726 2.2048e-28   24.5841  4.64e+39   7.888e+45  3.2086e+44  11.4923        13.4877        49.1682   78.4733      49.1682   24.5841            0.0589618        0.0611935         0.0554747     
6   2151   759     31    31    140 0:38:00.5 +40:12:46.7 160    100    -510     -420     0       -495 -435 98    pv   250408-1617 -465       30            576       17.9984 17.9627 94.0647   6.55961e+20 469.403 0.052393 8.3879e-28   43.6835  2.6475e+39 7.9425e+45 1.8182e+44  21.5361        39.993         87.367    93.4006      87.367    43.6835            0.0368961        0.0378601         0.0438967     
7   1843   800     41    24    130 0:40:14.8 +40:17:37.7 195    120    -510     -440     0       -500 -455 128   pv   250408-1643 -477.5     22.5          702       20.0121 19.9227 71.0223   1.5685e+21  500.763 0.117433 7.4348e-28   99.7019  1.0742e+40 2.417e+46  2.4242e+44  17.4906        21.4523        199.404   285.804      199.404   99.7019            0.082699         0.0780277         0.0704513     
8   1949   829     12    11    80  0:39:28.4 +40:19:28.3 140    120    -575     -520     0       -570 -535 68    pv   250408-1713 -552.5     17.5          504       15.7668 15.5146 82.3746   2.70001e+21 430.233 0.235288 8.1578e-28   44.7203  7.965e+39  1.3939e+46 3.1169e+44  20.6524        23.7212        89.4406   155.706      89.4406   44.7203            0.165695         0.171454          0.187926      
9   2027   837     19    18    0   0:38:55.2 +40:20:14.3 75     75     -515     -460     0       -510 -465 68    pv   250408-1721 -487.5     22.5          270       15.1132 15.0569 89.5587   2.03735e+21 422.911 0.180615 1.354e-27    8.72467  9.4003e+38 2.1151e+45 2.4242e+44  18.7447        20.794         17.4493   23.4828      17.4493   8.72467            0.127194         0.127426          0.110087      
10  1999   852     15    14    80  0:39:06.4 +40:21:42.9 100    85     -540     -500     0       -538 -502 68    pv   250409-1132 -520       18            360       14.6586 14.6031 88.1605   2.7241e+21  415.649 0.245716 9.596e-28    18.0063  3.0314e+39 5.4564e+45 3.0303e+44  17.2815        20.835         36.0126   59.5123      36.0126   18.0063            0.173039         0.193008          0.207577      
