  1|53.3S| 8.1E|0 37 42.7 +40 12 33|-506.8| 18.6| 220| 400|  0|22.0|0.50|1|3|p|                       
  2|52.1S| 3.4E|0 37 26.7 +40 16 20|-552.1|  8.2| 160| 340|158|44.5|0.31|1|3|p|                       
  3|49.2S|12.1E|0 38 12.6 +40 13 24|-486.2| 16.5| 220| 300|  0|24.5|0.41|2|2|c|                       
  4|48.4S| 9.4E|0 38 03.8 +40 15 41|-477.9| 14.4| 160| 200|  0|30.5|0.49|2|3|c|                       
  5|48.0S| 5.7E|0 37 49.6 +40 18 12|-560.4| 14.4| 240| 500|  0|30.0|0.47|2|3|c|                       
  6|47.2S| 4.2E|0 37 46.0 +40 19 43|-572.8| 24.7| 640| 640|  0|36.5|0.41|1|2|c|                       
  7|46.3S|13.1W|0 36 36.7 +40 30 57|-457.3|     | 260| 400|  0|27.0|0.37|1|1|p|                       
  8|45.6S| 8.7E|0 38 09.9 +40 18 15|-519.2|-12.4| 680| 680|  0|28.0|0.61|1|2|p|                       
  9|45.6S|13.8E|0 38 31.1 +40 15 14|-477.9|     |  80| 140|  0|12.0|0.58|1|1|c|                       
 10|44.5S|14.3E|0 38 36.3 +40 15 45|-465.6|  8.2| 440| 440|  0|20.5|0.24|1|3|c|                       
 11|43.0S|13.5W|0 36 45.4 +40 33 47|-449.1|     | 260| 440|  0|24.5|0.29|1|1|c|                       
 12|41.7S| 1.5W|0 37 39.6 +40 27 37|-576.9| 16.5| 100| 180|157|17.0|0.59|1|2|c|                       
 13|41.3S| 9.2E|0 38 25.6 +40 21 21|-465.6|-12.4| 140| 280|152|14.5|0.34|1|2|p|                       
 14|41.0S|13.4E|0 38 44.2 +40 19 05|-428.5|-12.4| 200| 240|  0|20.5|0.44|1|2|p|                       
 15|39.7S|15.4W|0 36 47.9 +40 37 36|-445.0|     | 220| 360| 22|14.0|0.43|1|1|p|                       
 16|39.7S| 1.4W|0 37 46.6 +40 29 10|-564.5|     | 420| 900|149|25.0|0.40|3|1|c|                       
 17|39.3S|12.5W|0 37 01.2 +40 36 08|-445.0| 20.6| 300| 500| 42|34.0|0.41|2|2|c|                       
 18|39.3S| 7.7E|0 38 25.6 +40 23 54|-490.3|     | 220| 360| 53|45.0|0.27|1|1|c|                       
 19|38.2S| 8.7E|0 38 33.5 +40 24 10|-469.7|-12.4| 560| 560|  0|35.0|0.49|2|2|p|                       
 20|37.9S| 9.5E|0 38 37.9 +40 23 56|-457.3| 24.7| 500| 660|167|14.0|0.50|2|3|c|                       
 21|37.7S|12.2E|0 38 49.4 +40 22 25|-432.6|  8.2| 120| 200|  0|34.5|0.32|1|2|c|                       
 22|37.5S| 2.2E|0 38 08.7 +40 28 42|-539.8|-12.4| 100| 200|  0|36.5|0.41|3|2|c|                       
 23|37.2S|13.1W|0 37 05.5 +40 38 11|-445.0| 12.4| 220| 320| 27|18.0|0.39|1|2|p|                       
 24|34.6S| 3.2W|0 37 55.3 +40 34 16|-560.4|  8.2| 420| 660|  0|27.0|0.26|1|2|c|                       
 25|34.5S|11.8E|0 38 58.2 +40 25 14|-445.0| 20.6| 300| 480|  0|12.5|0.32|1|2|p|                       
 26|33.5S| 3.9W|0 37 56.1 +40 35 33|-552.1| 14.4| 220| 280|  0|30.5|0.33|2|3|c|Blend of two holes     
 27|33.1S|15.6W|0 37 08.0 +40 43 00|-424.3|     | 200| 220|  0|21.0|0.24|1|1|p|                       
 28|31.0S|10.0E|0 39 01.7 +40 29 04|-440.8| 12.4| 120| 140|  0|37.5|0.29|1|3|c|                       
 29|29.9S|10.6E|0 39 07.9 +40 29 35|-432.6| 12.4| 160| 160|  0|29.0|0.38|1|3|c|                       
 30|27.9S|10.7W|0 37 45.2 +40 44 09|-424.3| 14.4| 100| 160|  0| 8.5|0.59|1|3|c|                       
 31|26.8S|16.7W|0 37 23.7 +40 48 38|-362.5| 12.4|  80| 160| 31|14.0|0.57|1|3|p|                       
