  1|12.85|146.0| 200| 380|  0| 276|0.53|0.45|  7.3|  12.2|  61.2
  2|10.85|164.0| 140| 320|156| 212|0.44|0.45| 12.6|   5.5|   8.6
  3|14.57|132.4| 200| 280|  0| 237|0.71|0.44|  7.0|   1.6|  31.5
  4|12.77|139.3| 140| 160|  0| 150|0.87|0.66|  5.1|   2.9|   9.9
  5|10.85|152.2| 220| 480|  0| 325|0.46|0.49| 11.0|  22.0|  79.9
  6|10.16|158.3| 620| 640| 90| 630|0.97|0.66| 12.5| 214.5|1858.7
  7|14.87|231.5| 240| 380|  0| 302|0.63|0.35|     |  12.6|  19.1
  8|11.98|139.6| 660| 680| 90| 670|0.97|0.57| 26.5| 223.6| 727.1
  9|15.27|126.6|   0|  80|  0|    |0.00|0.27|     |      |
 10|15.49|125.4| 420| 440| 90| 430|0.95|0.25| 25.5|  25.4|  40.2
 11|14.76|234.3| 240| 420|  0| 317|0.57|0.37|     |  15.4|  23.6
 12| 8.45|189.4|  40| 140|148|  75|0.29|0.33|  2.2|   0.2|   0.6
 13|11.65|135.2| 100| 260|149| 161|0.38|1.06|  6.4|   5.8|  17.0
 14|14.47|124.5| 180| 200|  0| 190|0.90|0.40|  7.5|   3.5|   9.4
 15|15.84|239.9| 200| 340| 24| 261|0.59|0.27|     |   6.1|   8.8
 16| 8.03|189.1| 400| 900|149| 600|0.44|0.37|     | 103.8| 171.8
 17|13.63|234.7| 280| 480| 43| 367|0.58|0.46|  8.7|  29.3| 176.5
 18|10.40|139.1| 200| 340| 56| 261|0.59|0.64|     |  14.6|  23.3
 19|10.87|134.6| 540| 560| 90| 550|0.96|0.62| 21.7| 133.2| 426.7
 20|11.35|131.9| 500| 640|166| 566|0.78|0.62| 11.2| 145.0|1230.0
 21|13.19|124.9|  80| 160|  0| 113|0.50|0.51|  6.7|   1.0|   1.4
 22| 1.74|165.4|  60| 160|  0|  98|0.37|0.52|  3.9|   0.6|   1.6
 23|13.82|237.4| 200| 300| 31| 245|0.67|0.50|  9.7|   9.6|  27.2
 24| 7.49|202.5| 420| 640|  0| 518|0.66|0.42| 30.7|  76.5| 131.9
 25|12.54|123.4| 280| 460|  0| 359|0.61|0.28|  8.5|  16.9|  95.9
 26| 7.53|207.2| 200| 260|  0| 228|0.77|0.47|  7.7|   7.2|  24.9
 27|15.41|244.6| 180| 180|  0| 180|1.00|0.27|     |   2.0|   2.8
 28|10.81|125.0|  80|  80|  0|  80|1.00|0.62|  3.2|   0.4|   1.0
 29|11.15|122.5| 100| 140| 90| 118|0.71|0.44|  4.7|   4.9|   2.4
 30|11.06|239.7|  60| 100|  0|  77|0.60|0.41|  2.6|   0.2|   0.7
 31|15.78|250.4|   0| 120| 43|    |0.00|0.15|     |      |
 32|13.44|249.2| 140| 160| 90| 150|0.87|0.35|  8.9|   1.5|   2.2
 33|12.06|113.0|  80|  80|  0|  80|1.00|0.42|  2.7|   0.3|   0.8
 34| 6.27|136.6| 200| 340| 43| 261|0.59|0.37|     |   8.5|  12.8
 35|10.87|113.5| 140| 260|  0| 191|0.54|0.39|  5.0|   3.5|  16.5
 36|11.51|108.9| 240| 400|120| 310|0.60|0.27| 18.4|  10.2|  15.6
 37| 8.62|246.1|  60| 180|  0| 104|0.33|0.69|  3.5|   1.0|   3.3
 38| 7.94|114.3|   0|  60| 90|    |0.00|0.37|     |      |
 39| 8.04|246.1| 120| 260| 43| 177|0.46|0.53|  8.4|   3.8|   8.0
 40|11.17|106.5| 260| 500| 46| 361|0.52|0.42| 14.3|  25.7|  74.9
 41| 7.90|247.2| 100| 300| 47| 173|0.33|0.42|  6.8|   2.9|   1.6
 42| 8.71|255.1|   0|  60| 90|    |0.00|0.81|     |      |
 43| 8.79|101.5| 240| 340|128| 286|0.71|0.71| 16.9|  21.3|  36.4
 44| 7.41|103.0|  40| 220| 26|  94|0.18|0.48|     |   0.5|   0.7
 45| 9.61|100.0| 500| 800| 38| 632|0.63|0.74| 15.0| 243.1|1655.4
 46|12.89| 95.7| 560| 820| 31| 678|0.68|0.42| 16.1| 170.9|1097.0
 47|11.43|263.9| 160| 380| 16| 247|0.42|0.46| 14.6|   8.9|  14.2
 48| 9.84| 96.4| 200| 340|  0| 261|0.59|0.85|  8.8|  19.5|  73.5
 49| 8.88|263.4| 140| 240|  0| 183|0.58|0.69|  5.4|   5.5|  23.4
 50| 9.12|263.7|   0|  60| 90|    |0.00|0.69|     |      |
 51|12.80|266.9| 220| 340|  0| 273|0.65|0.53| 16.2|  14.0|  23.0
 52|11.32|266.8| 460| 600| 40| 525|0.77|0.46| 10.4|  86.3| 700.0
 53|10.40| 91.6| 140| 200|  0| 167|0.70|0.78|  7.9|   4.7|  10.4
 54| 9.21| 90.7| 480| 900| 51| 657|0.53|0.78| 26.0| 285.9| 961.8
 55| 8.87|272.0| 140| 200|  0| 167|0.70|0.66|  5.7|   4.0|  14.0
 56| 9.69| 87.9|  80| 120| 90|  98|0.67|0.78|  5.8|   0.9|   1.4
 57|11.19| 88.2| 120| 220| 63| 162|0.55|0.73|  7.7|   4.1|   8.9
 58|13.91|272.1|  80| 220|122| 133|0.36|0.32|     |   1.0|   1.3
 59| 8.27| 86.2| 120| 160|  0| 139|0.75|0.70|  5.5|   2.4|   6.6
 60| 7.34|276.6| 460| 480| 90| 470|0.96|0.28| 13.9|  38.0| 162.6
 61| 8.64| 82.6| 240| 380|  0| 302|0.63|0.50| 11.9|  18.0|  52.3
 62| 9.25| 82.4| 600| 620| 90| 610|0.97|0.67| 14.5| 197.3|1321.5
 63|10.67| 81.8| 360| 580|138| 457|0.62|0.74| 27.1|  91.7| 166.5
 64|12.24| 81.6| 100| 200|100| 141|0.50|0.69|  6.7|   2.5|   5.4
 65| 8.16| 73.5| 140| 240|  0| 183|0.58|0.65|  7.2|   5.2|  14.7
 66| 9.60| 74.5| 500| 540|  0| 520|0.93|0.85| 12.3| 154.1|1041.3
 67|11.99|282.6| 100| 220| 56| 148|0.45|0.48|  5.9|   2.0|   5.4
 68|13.01|283.4| 200| 260|  0| 228|0.77|0.31|  9.0|   4.7|  12.6
 69|13.01|283.1|1000|1400| 39|1183|0.71|0.31|663.3|1165.2|
 70| 8.43| 67.7|  80| 160|  0| 113|0.50|0.65|  6.7|   1.2|   1.9
 71| 9.13| 69.5| 380| 600|  0| 477|0.63|0.68| 18.9|  95.9| 305.6
 72|10.35|289.9|  40| 240| 70|  98|0.17|0.79|  2.6|   1.0|   4.5
 73|12.05|288.4|   0|   0|  0|    |    |0.53|     |      |
 74| 9.96|292.5| 100| 120| 90| 110|0.83|0.87|  2.9|   1.5|   7.1
 75|10.73|291.4|  80| 260| 70| 144|0.31|0.69|  5.7|   2.7|   1.4
 76|10.38| 66.5| 160| 280| 36| 212|0.57|1.06|     |  13.0|  21.6
 77|11.65| 68.7| 180| 200| 90| 190|0.90|0.83|  4.5|   7.3|  43.9
 78|12.63|290.2|  60| 260| 48| 125|0.23|0.57|  3.7|   1.4|   5.7
 79|11.10| 66.8| 140| 160| 90| 150|0.87|0.97|     |   4.2|   6.6
 80| 9.55|298.2| 260| 340|  0| 297|0.76|0.69|  7.1|  23.5| 144.6
 81|14.64|288.2| 100| 220|136| 148|0.45|0.41|  4.4|   1.7|   6.7
 82|11.30|294.1| 360| 440|  0| 398|0.82|0.58| 11.8|  47.6| 217.9
 83| 8.81|302.0|   0|   0|  0|    |    |0.53|     |      |
 84|16.26|287.6| 140| 160| 90| 150|0.87|0.38|  7.1|   1.6|   3.3
 85| 9.23|302.3| 160| 200|  0| 179|0.80|0.62| 10.6|   4.6|   7.3
 86| 9.82|301.7| 100| 280|134| 167|0.36|0.66|  6.6|   4.0|  11.3
 87|10.23| 59.8| 180| 440| 27| 281|0.41|1.22|     |  35.2|  61.3
 88|10.27|300.3|  20| 140| 45|  53|0.14|0.73|  3.1|   0.1|   0.2
 89| 9.69|303.8|   0|  80|  0|    |0.00|0.83|     |      |
 90| 5.94| 23.8| 240| 240|  0| 240|1.00|0.25|  9.5|   4.4|  11.5
 91|10.31| 58.1| 160| 480|151| 271|0.33|1.27|  8.2|  35.1| 168.8
 92|10.60|301.1|  80| 120| 90|  98|0.67|0.76| 11.6|   0.9|   0.5
 93|12.29| 63.3| 120| 280| 38| 183|0.43|0.73| 10.9|   5.8|   9.5
 94| 9.30| 53.4| 200| 220| 90| 210|0.91|0.64|     |   7.6|  11.8
 95|20.44|285.8| 100| 280| 40| 167|0.36|0.18|  6.6|   1.1|   2.6
 96|10.07| 55.6| 200| 200|  0| 200|1.00|1.03|  5.9|  10.7|  48.4
 97|15.28|292.3| 220| 360|129| 281|0.61|0.43|     |  12.5|  19.2
 98|16.29|291.3| 240| 480|163| 339|0.50|0.32| 10.1|  16.1|  67.3
 99|12.27| 60.8| 160| 340|  0| 233|0.47|0.81|  9.2|  13.4|  39.9
100| 9.81| 51.6| 200| 360|  0| 268|0.56|0.60| 10.6|  15.0|  44.0
101|12.20| 59.8|  40| 120|139|  69|0.33|0.72|     |   0.3|   0.4
102|11.16|303.7| 220| 320|  0| 265|0.69|0.76|  7.9|  18.4|  82.7
103|12.98|298.5| 400| 420| 90| 410|0.95|0.66| 16.2|  59.1| 184.3
104|16.58|292.0|  60|  80|  0|  69|0.75|0.33|  2.7|   0.1|   0.3
105|14.34|295.8|   0| 100|  0|    |0.00|0.51|     |      |
106|16.36|293.0| 260| 440|  0| 338|0.59|0.28| 20.1|  14.2|  22.1
107| 9.65| 48.5| 200| 420| 24| 290|0.48|0.62| 13.7|  19.5|  44.8
108|10.88|306.5|  60| 100|  0|  11|0.60|0.81|  2.3|   0.5|  19.
109|11.93|303.0| 100| 180| 50| 134|0.56|0.84|  5.3|   2.6|  74.
110| 9.93| 48.3| 140| 140|  0| 140|1.00|0.82|  4.2|   2.9|  12.3
111|18.51|291.2| 160| 160|  0| 160|1.00|0.11|     |   0.6|   0.7
112| 9.79|313.6|  80| 300| 55| 155|0.27|0.90|     |   4.3|   6.8
113|11.06| 52.2| 100| 120| 90| 110|0.83|1.00|  3.2|   1.7|   7.1
114|16.97|293.6| 600| 800|  0| 693|0.75|0.30| 41.1| 129.4| 221.5
