alpha           r               x1_mom0         x1_mom1         x1_mom2         x2_mom0         x2_mom1         x2_mom2         x3_mom0         x3_mom1         x3_mom2         
    99.86888      2281.22241         0.21906      -315.47342        20.96391        -0.02349      -297.87314    NaN                 -0.02349      -297.87314    NaN             
   114.58313      2298.87817         0.19629      -318.01019        19.68978         0.09288      -520.01947         8.50967         0.09288      -520.01947         8.50967    
    67.08332      2319.64795         0.16461      -304.30197        15.87265    NaN             NaN             NaN             NaN             NaN             NaN             
   128.02044      2325.77832         0.17779      -323.99680        24.66733         0.10696      -542.03735         9.61608         0.10696      -542.03735         9.61608    
    83.13307      2349.38086         0.25112      -307.59412        18.75908         0.17940      -312.63388         9.15039         0.17940      -312.63388         9.15039    
   136.90532      2381.12866         0.21577      -317.32437        30.47215         0.02903      -514.75934         6.25186         0.02903      -514.75934         6.25186    
    55.12678      2426.62378         0.18350      -296.01218        20.90372        -0.00235      -262.34470    NaN                 -0.00235      -262.34470    NaN             
    44.75387      2437.13281         0.22943      -296.80627        24.21182         0.01710      -202.80273    NaN                  0.01710      -202.80273    NaN             
   144.48616      2448.79053         0.10128      -321.00122        14.12776         0.04045      -606.04755         3.92290         0.04045      -606.04755         3.92290    
   149.41214      2537.07861         0.17341      -329.58197        26.43954         0.02928      -525.46722    NaN                  0.02928      -525.46722    NaN             
    38.36614      2576.71802         0.21276      -293.04568        20.24473         0.04668      -536.38965         4.78269         0.04668      -536.38965         4.78269    
   154.11061      2588.16064         0.12414      -339.68024        20.34958         0.09493      -545.99713        12.75237         0.09493      -545.99713        12.75237    
    33.15175      2663.08862         0.23129      -283.25745        17.63637         0.02967      -274.37424         2.41646         0.02967      -274.37424         2.41646    
   156.74069      2754.23682         0.04956      -329.39304        10.74289         0.22267      -456.94580        11.45403         0.22267      -456.94580        11.45403    
   159.81111      2835.44556         0.05862      -458.58490         8.29269         0.15917      -455.78217         7.87890         0.15917      -455.78217         7.87890    
   162.03250      2978.91748         0.10165      -328.90671        22.49850         0.68576      -544.78845        12.08370         0.68576      -544.78845        12.08370    
   163.57311      3124.57788         0.31598      -531.59064        15.46132         0.70892      -537.33905        15.85018         0.70892      -537.33905        15.85018    
   165.39848      3242.32983         0.23107      -517.34302        15.41343         0.46443      -527.53003        19.37966         0.46443      -527.53003        19.37966    
   166.22071      3445.03711         0.09640      -513.12213        12.73675         0.04296      -264.34497         7.68509         0.04296      -264.34497         7.68509    
   167.61179      3579.12280         0.15153      -499.36343        23.98803         0.03788      -278.35995         3.40258         0.03788      -278.35995         3.40258    
   168.41327      3748.72266         0.30496      -503.18909        23.65670         0.36143      -513.94653        11.97533         0.36143      -513.94653        11.97533    
   169.27916      3935.68237         0.39096      -502.00372        18.32030         0.51596      -507.10843        10.54448         0.51596      -507.10843        10.54448    
   169.89466      4112.42773         0.30854      -494.51013        25.37288         0.21295      -403.90488         9.21073         0.21295      -403.90488         9.21073    
   170.57839      4307.10254         0.18679      -503.22491        15.04717         0.16836      -311.97589        12.25222         0.16836      -311.97589        12.25222    
