alpha	r	x1_mom0	x1_mom1	x1_mom2	x2_mom0	x2_mom1	x2_mom2	x3_mom0	x3_mom1	x3_mom2
180	108									
180	324									
180	540	0.37555	-304.269	22.2017	0.06344	-222.48	6.51027	0.06344	-222.48	6.51027
180	756	0.398533	-310.806	24.7169	0.0669325	-245.553	5.19881	0.0669325	-245.553	5.19881
180	972	0.430745	-304.292	26.3154	0.09679	-286.225	7.00877	0.09679	-286.225	7.00877
180	1188	0.41367	-312.881	27.3424	0.15667	-277.804	10.5699	0.15667	-277.804	10.5699
180	1404	0.342715	-307.649	25.3264	0.286835	-415.304	11.4861	0.286835	-415.304	11.4861
180	1620	0.32758	-324.074	30.9695	0.222895	-462.853	15.9471	0.222895	-462.853	15.9471
180	1836	0.204675	-328.513	25.986	0.24646	-472.853	15.2116	0.24646	-472.853	15.2116
180	2052	0.18453	-324.81	22.4694	0.18898	-515.256	13.0084	0.18898	-515.256	13.0084
180	2268	0.125145	-327.37	17.9358	0.23293	-516.034	17.1161	0.23293	-516.034	17.1161
180	2484	0.154355	-328.757	21.4647	0.09369	-354.303	7.18982	0.09369	-354.303	7.18982
180	2700	0.38374	-370.918	50.7055	0.135915	-280.171	9.48016	0.135915	-280.171	9.48016
180	2916	0.478695	-362.12	51.2426	0.25351	-299.227	11.6223	0.25351	-299.227	11.6223
180	3132	0.441315	-331.83	44.0121	0.3001	-301.737	10.8851	0.3001	-301.737	10.8851
180	3348	0.390272	-334.567	41.6629	0.288887	-404.613	11.0666	0.288887	-404.613	11.0666
180	3564	0.289835	-409.12	35.9373	0.209927	-406.523	9.64123	0.209927	-406.523	9.64123
180	3780	0.458825	-369.549	50.9916	0.211525	-404.532	8.46627	0.211525	-404.532	8.46627
180	3996	0.43287	-415.57	38.3263	0.228782	-314.414	15.9821	0.228782	-314.414	15.9821
180	4212	0.53018	-434.363	43.5698	0.380545	-418.055	16.8788	0.380545	-418.055	16.8788
180	4428	0.62915	-434.347	56.8847	0.45632	-442.214	22.9115	0.45632	-442.214	22.9115
180	4644	0.768715	-445.306	59.7733	0.579885	-441.589	15.6396	0.579885	-441.589	15.6396
180	4860	0.823392	-483.354	28.6771	0.952198	-490.905	17.2936	0.952198	-490.905	17.2936
180	5076	0.949758	-499.293	27.6181	1.13388	-502.871	16.1633	1.13388	-502.871	16.1633
180	5292	1.03303	-500.644	27.7428	1.24853	-506.414	15.323	1.24853	-506.414	15.323
180	5508	1.12138	-509.548	26.1727	1.22442	-512.686	12.5746	1.22442	-512.686	12.5746
180	5724	1.21709	-516.274	26.7109	1.15834	-518.408	13.5124	1.15834	-518.408	13.5124
180	5940	1.31894	-519.137	26.3478	1.22402	-527.265	14.8155	1.22402	-527.265	14.8155
180	6156	1.53872	-521.521	26.3512	1.41388	-531.542	15.0275	1.41388	-531.542	15.0275
180	6372	1.71607	-523.324	26.9366	1.51756	-535.93	15.1556	1.51756	-535.93	15.1556
180	6588	1.90677	-526.073	26.368	1.61783	-538.839	13.9233	1.61783	-538.839	13.9233
180	6804	2.139	-531.072	24.4856	1.87477	-542.379	13.2463	1.87477	-542.379	13.2463
180	7020	2.39168	-533.653	23.4668	2.21904	-543.594	11.9888	2.21904	-543.594	11.9888
180	7236	2.75872	-536.576	22.5554	2.79488	-545.538	12.1108	2.79488	-545.538	12.1108
180	7452	3.07181	-539.465	22.4726	3.55394	-547.864	14.6801	3.55394	-547.864	14.6801
180	7668	3.52707	-542.159	24.1158	4.50097	-550.366	15.8152	4.50097	-550.366	15.8152
180	7884	3.53737	-544.909	24.7939	4.54231	-551.282	17.5728	4.54231	-551.282	17.5728
180	8100	3.20522	-544.009	27.5441	3.81315	-552.785	23.9334	3.81315	-552.785	23.9334
180	8316	2.46759	-542.74	27.2939	1.80599	-554.006	24.2312	1.80599	-554.006	24.2312
180	8532	2.55644	-546.501	26.9784	2.04861	-556.176	19.4237	2.04861	-556.176	19.4237
180	8748	2.6603	-549.591	26.2465	2.47185	-560.63	17.261	2.47185	-560.63	17.261
180	8964	2.99932	-552.349	25.4611	3.29247	-565.058	14.7481	3.29247	-565.058	14.7481
180	9180	3.4379	-552.584	25.3852	4.09412	-564.551	14.6086	4.09412	-564.551	14.6086
180	9396	3.51687	-552.97	26.9576	3.9157	-563.197	13.222	3.9157	-563.197	13.222
180	9612	3.42153	-547.715	35.4153	3.68892	-561.199	13.4313	3.68892	-561.199	13.4313
180	9828	3.43019	-542.559	37.4478	3.39717	-560.022	13.2866	3.39717	-560.022	13.2866
180	10044	3.50082	-538.75	38.256	3.4999	-559.034	12.7648	3.4999	-559.034	12.7648
180	10260	3.34403	-537.009	34.6985	3.22919	-557.669	12.5093	3.22919	-557.669	12.5093
180	10476	3.06685	-534.211	31.6608	2.81425	-557.49	12.2612	2.81425	-557.49	12.2612
180	10692	3.19432	-531.945	33.5685	2.84083	-557.077	11.9079	2.84083	-557.077	11.9079
180	10908	3.24064	-531.451	32.5688	2.77216	-553.567	13.5598	2.77216	-553.567	13.5598
180	11124	3.24401	-531.756	30.6895	2.83299	-549.893	13.7121	2.83299	-549.893	13.7121
180	11340	3.3356	-530.502	29.9615	3.08396	-546.526	13.334	3.08396	-546.526	13.334
180	11556	3.3849	-531.223	25.9444	3.04719	-547.703	12.7072	3.04719	-547.703	12.7072
180	11772	3.52136	-529.09	24.6758	3.25857	-545.586	12.3091	3.25857	-545.586	12.3091
180	11988	3.74235	-529.685	23.4782	3.63052	-541.225	12.3764	3.63052	-541.225	12.3764
180	12204	4.02152	-529.448	23.7716	4.03854	-538.803	12.8673	4.03854	-538.803	12.8673
180	12420	4.10802	-530.691	21.9759	4.09521	-538.777	11.9944	4.09521	-538.777	11.9944
180	12636	4.3076	-531.14	21.0311	4.45512	-537.617	11.6879	4.45512	-537.617	11.6879
180	12852	4.22424	-531.818	21.2022	4.0448	-538.479	12.6043	4.0448	-538.479	12.6043
180	13068	4.03822	-532.993	20.8536	3.69722	-539.966	11.509	3.69722	-539.966	11.509
180	13284	4.14668	-533.438	20.4368	4.12099	-538.421	9.2481	4.12099	-538.421	9.2481
180	13500	4.29527	-533.905	18.7878	4.43743	-537.747	9.92865	4.43743	-537.747	9.92865
180	13716	4.7293	-535.948	18.4946	4.8377	-540.448	11.3788	4.8377	-540.448	11.3788
180	13932	4.82669	-537.304	19.3448	4.98298	-542.615	13.2524	4.98298	-542.615	13.2524
180	14148	4.93504	-538.634	20.7817	5.44595	-542.017	14.9119	5.44595	-542.017	14.9119
180	14364	4.64777	-538.595	20.9901	5.19933	-543.174	15.687	5.19933	-543.174	15.687
180	14580	4.02222	-538.899	21.737	4.61696	-541.123	21.1382	4.61696	-541.123	21.1382
180	14796	3.70744	-537.648	21.6104	4.25879	-540.547	22.869	4.25879	-540.547	22.869
180	15012	3.27604	-537.725	21.6977	3.53994	-534.379	24.0722	3.53994	-534.379	24.0722
180	15228	2.62767	-536.538	24.0335	2.45199	-499.164	26.4958	2.45199	-499.164	26.4958
180	15444	2.10267	-537.763	24.5172	1.08115	-494.023	12.0689	1.08115	-494.023	12.0689
180	15660	1.57573	-535.625	27.2923	1.06932	-553.475	8.10091	1.06932	-553.475	8.10091
180	15876	1.31238	-531.875	24.0807	0.79284	-552.078	8.19998	0.79284	-552.078	8.19998
180	16092	1.24019	-528.115	20.541	0.763027	-552.052	7.64827	0.763027	-552.052	7.64827
180	16308	1.82519	-316.76	20.0224	1.53529	-312.464	9.27966	1.53529	-312.464	9.27966
180	16524	1.80541	-313.894	19.5024	1.52998	-309.789	9.24753	1.52998	-309.789	9.24753
180	16740	1.74363	-313.36	19.5903	1.46033	-308.91	9.04779	1.46033	-308.91	9.04779
180	16956	1.03336	-448.945	24.1182	0.730675	-421.948	8.90264	0.730675	-421.948	8.90264
180	17172	0.94081	-515.298	39.6458	0.80978	-424.117	10.3552	0.80978	-424.117	10.3552
180	17388	0.841318	-512.284	43.7665	0.670508	-429.578	11.8963	0.670508	-429.578	11.8963
180	17604	0.78249	-511.637	43.4071	0.500402	-426.18	13.1391	0.500402	-426.18	13.1391
180	17820	0.70304	-510.708	39.2323	0.34233	-430.036	13.575	0.34233	-430.036	13.575
180	18036	0.714155	-509.53	40.4702	0.30601	-378.406	12.865	0.30601	-378.406	12.865
180	18252	0.60964	-503.958	40.0705	0.25022	-438.08	12.885	0.25022	-438.08	12.885
180	18468	0.5516	-502.135	39.2754	0.24708	-417.971	11.1031	0.24708	-417.971	11.1031
180	18684	0.54504	-505.633	37.4673	0.1951	-374.438	9.94722	0.1951	-374.438	9.94722
180	18900	0.6327	-506.06	36.5737	0.215675	-379.829	8.78275	0.215675	-379.829	8.78275
180	19116	0.699672	-506.525	34.6618	0.24824	-418.33	8.50522	0.24824	-418.33	8.50522
180	19332	0.73928	-510.697	32.2594	0.20991	-415.731	7.96641	0.20991	-415.731	7.96641
180	19548	0.78282	-511.366	27.0006	0.27193	-430.219	7.84819	0.27193	-430.219	7.84819
180	19764	0.86288	-514.644	24.1888	0.42327	-431.03	8.0296	0.42327	-431.03	8.0296
180	19980	1.02442	-516.372	22.3294	0.65938	-523.226	9.32622	0.65938	-523.226	9.32622
180	20196	1.2322	-515.533	20.5667	1.06238	-517.724	12.4674	1.06238	-517.724	12.4674
180	20412	1.4526	-516.423	19.2895	1.27491	-517.972	12.799	1.27491	-517.972	12.799
180	20628	1.49989	-515.797	17.2419	1.29897	-516.755	12.4586	1.29897	-516.755	12.4586
180	20844	1.58632	-514.987	16.7169	1.33046	-515.73	9.43588	1.33046	-515.73	9.43588
180	21060	1.54709	-514.191	14.8431	1.21829	-513.689	7.78069	1.21829	-513.689	7.78069
180	21276	1.53948	-512.617	14.7139	1.16354	-510.178	7.43689	1.16354	-510.178	7.43689
180	21492	1.7158	-318.942	14.6993	1.58206	-329.683	7.44728	1.58206	-329.683	7.44728
180	21708	1.57694	-317.44	15.5962	1.34056	-327.404	7.53554	1.34056	-327.404	7.53554
180	21924	1.4453	-319.042	16.3646	0.908618	-325.78	7.0723	0.908618	-325.78	7.0723
180	22140	1.22096	-318.984	16.9442	0.633328	-323.96	5.55892	0.633328	-323.96	5.55892
180	22356	1.08668	-315.965	17.8177	0.351442	-321.047	6.17177	0.351442	-321.047	6.17177
180	22572	1.00481	-317.197	16.6848	0.317575	-321.208	6.45891	0.317575	-321.208	6.45891
180	22788	0.970505	-315.635	16.528	0.35623	-319.342	7.1057	0.35623	-319.342	7.1057
180	23004	1.04127	-507.724	16.4239	0.43008	-473.227	6.83241	0.43008	-473.227	6.83241
180	23220	1.30486	-506.945	17.4663	0.56518	-474.518	8.1335	0.56518	-474.518	8.1335
180	23436	1.63578	-505.909	17.7316	0.855605	-475.001	11.7111	0.855605	-475.001	11.7111
180	23652	2.02459	-508.232	16.6287	1.46998	-482.396	10.7588	1.46998	-482.396	10.7588
180	23868	1.84895	-308.769	15.8199	1.30396	-301.104	7.95528	1.30396	-301.104	7.95528
180	24084	0.71546	-300.972	16.7824	0.449915	-298.027	6.44612	0.449915	-298.027	6.44612
180	24300	0.706335	-297.716	16.4892	0.468085	-296.111	6.6192	0.468085	-296.111	6.6192
180	24516	0.7173	-298.666	16.1232	0.50679	-296.541	6.80887	0.50679	-296.541	6.80887
180	24732	0.7332	-299.249	15.6182	0.559425	-296.903	6.05398	0.559425	-296.903	6.05398
180	24948	0.744275	-299.528	14.6875	0.61387	-297.439	5.89611	0.61387	-297.439	5.89611
180	25164	0.745115	-298.954	14.0584	0.645203	-297.477	5.99809	0.645203	-297.477	5.99809
180	25380	0.737138	-298.026	13.4903	0.64014	-296.995	5.91031	0.64014	-296.995	5.91031
180	25596	0.71324	-298.226	13.33	0.62503	-252.884	6.06587	0.62503	-252.884	6.06587
180	25812	0.69148	-298.544	13.1402	0.587745	-285.806	7.20223	0.587745	-285.806	7.20223
180	26028	0.658672	-294.741	12.4465	0.542783	-252.444	5.96914	0.542783	-252.444	5.96914
180	26244	0.62597	-295.212	12.1972	0.4853	-250.071	6.73792	0.4853	-250.071	6.73792
180	26460	0.59279	-295.783	12.1863	0.42482	-249.779	5.56866	0.42482	-249.779	5.56866
180	26676	0.5625	-297.236	12.313	0.37813	-248.295	5.38516	0.37813	-248.295	5.38516
180	26892	0.543737	-297.708	12.6576	0.345612	-249.276	5.44274	0.345612	-249.276	5.44274
180	27108	0.52642	-297.953	12.8617	0.314623	-249.577	5.47278	0.314623	-249.577	5.47278
180	27324	0.50149	-298.405	13.1652	0.286108	-251.539	5.98804	0.286108	-251.539	5.98804
180	27540	0.484602	-299.051	13.258	0.237388	-250.902	6.43995	0.237388	-250.902	6.43995
180	27756	0.474647	-298.187	13.7009	0.21909	-248.762	6.77841	0.21909	-248.762	6.77841
180	27972	0.46093	-298.307	13.832	0.225945	-248.837	6.92667	0.225945	-248.837	6.92667
180	28188	0.439585	-297.686	13.6941	0.191165	-246.662	7.45824	0.191165	-246.662	7.45824
180	28404	0.413558	-297.174	13.4155	0.15565	-243.674	7.51488	0.15565	-243.674	7.51488
180	28620	0.387073	-297.316	13.5626	0.1283	-243.709	6.42598	0.1283	-243.709	6.42598
180	28836	0.382095	-297.493	13.6735	0.13621	-245.178	7.33516	0.13621	-245.178	7.33516
180	29052	0.373143	-297.336	13.6657	0.1432	-248.763	7.50675	0.1432	-248.763	7.50675
180	29268	0.37193	-297.116	13.4811	0.15806	-250.121	6.68072	0.15806	-250.121	6.68072
180	29484	0.372145	-296.02	13.162	0.183943	-248.977	6.04077	0.183943	-248.977	6.04077
180	29700	0.372688	-295.828	11.9728	0.170615	-252.126	5.67614	0.170615	-252.126	5.67614
180	29916	0.36439	-295.475	11.62	0.21723	-252.409	5.63604	0.21723	-252.409	5.63604
180	30132	0.37163	-293.513	11.6638	0.2631	-251.299	5.23632	0.2631	-251.299	5.23632
180	30348	0.38366	-295.134	11.3946	0.29747	-250.783	5.7139	0.29747	-250.783	5.7139
180	30564	0.390528	-291.341	11.2836	0.328292	-249.469	5.4447	0.328292	-249.469	5.4447
180	30780	0.39592	-290.844	11.161	0.36749	-249.105	5.34213	0.36749	-249.105	5.34213
180	30996	0.38995	-292.956	10.8262	0.384	-249.673	5.29033	0.384	-249.673	5.29033
180	31212	0.393365	-293.662	10.6774	0.40373	-250.55	5.42878	0.40373	-250.55	5.42878
180	31428	0.39657	-293.024	10.7652	0.424577	-251.254	5.16639	0.424577	-251.254	5.16639
180	31644	0.392635	-292.743	10.4364	0.430005	-252.4	5.41546	0.430005	-252.4	5.41546
180	31860	0.376375	-292.03	10.3998	0.413413	-278.497	5.38838	0.413413	-278.497	5.38838
180	32076	0.34844	-291.496	10.2006	0.37132	-280.543	5.36918	0.37132	-280.543	5.36918
180	32292	0.344835	-292.55	10.8136	0.35315	-282.318	5.24209	0.35315	-282.318	5.24209
180	32508	0.317105	-292.03	10.5185	0.307565	-277.607	5.29752	0.307565	-277.607	5.29752
180	32724	0.277615	-289.643	9.83689	0.267628	-286.424	5.60654	0.267628	-286.424	5.60654
180	32940	0.279475	-286.892	9.60394	0.27088	-282.321	5.46357	0.27088	-282.321	5.46357
180	33156	0.267235	-291.8	9.09469	0.246618	-280.467	5.46756	0.246618	-280.467	5.46756
180	33372	0.275365	-292.147	8.5864	0.265245	-278.935	5.20368	0.265245	-278.935	5.20368
180	33588	0.28683	-291.885	8.58973	0.31609	-265.848	5.27678	0.31609	-265.848	5.27678
180	33804	0.288818	-291.197	9.35315	0.334282	-261.722	5.43372	0.334282	-261.722	5.43372
180	34020	0.31163	-289.877	9.10044	0.415995	-263.159	5.37307	0.415995	-263.159	5.37307
180	34236	0.272807	-286.779	7.59113	0.37944	-264.091	5.3766	0.37944	-264.091	5.3766
180	34452	0.2515	-287.479	7.60375	0.333825	-260.536	5.76483	0.333825	-260.536	5.76483
180	34668	0.237203	-286.657	7.50467	0.329445	-280.498	6.29566	0.329445	-280.498	6.29566
