alpha	r	x1_mom0	x1_mom1	x1_mom2	x2_mom0	x2_mom1	x2_mom2	x3_mom0	x3_mom1	x3_mom2
180	108									
180	324									
180	540	0.37555	-304.269	22.2017	0.06344	-222.48	6.51027	0.06344	-222.48	6.51027
180	756	0.395235	-310.958	24.3223	0.064545	-258.472	4.80602	0.064545	-258.472	4.80602
180	972	0.40872	-312.294	25.5865	0.09297	-287.386	6.42409	0.09297	-287.386	6.42409
180	1188	0.39824	-314.372	26.471	0.13484	-279.897	9.5942	0.13484	-279.897	9.5942
180	1404	0.30943	-315.888	24.5043	0.23589	-457.135	10.9514	0.23589	-457.135	10.9514
180	1620	0.28036	-327.184	28.5828	0.17001	-472.706	13.1416	0.17001	-472.706	13.1416
180	1836	0.179495	-407.385	23.3071	0.17777	-475.014	11.7243	0.17777	-475.014	11.7243
180	2052	0.1463	-327.072	20.5371	0.10636	-521.875	9.07803	0.10636	-521.875	9.07803
180	2268	0.10994	-515.835	13.4762	0.17175	-520.497	11.6625	0.17175	-520.497	11.6625
180	2484	0.09907	-411.63	17.8133	0.07756	-555.974	7.08209	0.07756	-555.974	7.08209
180	2700	0.35015	-374.583	49.1687	0.09323	-294.146	8.58016	0.09323	-294.146	8.58016
180	2916	0.437795	-369.584	50.7139	0.23351	-299.766	10.5229	0.23351	-299.766	10.5229
180	3132	0.4005	-365.301	41.3311	0.2804	-402.245	9.5364	0.2804	-402.245	9.5364
180	3348	0.25756	-376.331	24.354	0.272785	-406.69	10.4254	0.272785	-406.69	10.4254
180	3564	0.23821	-413.455	27.3383	0.19791	-407.586	8.78133	0.19791	-407.586	8.78133
180	3780	0.30706	-403.213	34.1184	0.18909	-405.521	7.74004	0.18909	-405.521	7.74004
180	3996	0.34844	-442.115	36.024	0.197345	-408.429	9.60075	0.197345	-408.429	9.60075
180	4212	0.42784	-447.899	37.8092	0.29968	-465.321	16.2297	0.29968	-465.321	16.2297
180	4428	0.55857	-443.167	38.0652	0.40852	-467.57	16.9495	0.40852	-467.57	16.9495
180	4644	0.6618	-449.661	35.9944	0.47841	-486.899	14.2248	0.47841	-486.899	14.2248
180	4860	0.73091	-491.3	27.1472	0.774745	-497.365	15.131	0.774745	-497.365	15.131
180	5076	0.894405	-500.643	26.1388	1.08617	-505.298	14.7101	1.08617	-505.298	14.7101
180	5292	1.01971	-505.069	26.4799	1.18825	-509.284	14.7388	1.18825	-509.284	14.7388
180	5508	1.10248	-511.287	25.8036	1.19689	-515.142	11.9868	1.19689	-515.142	11.9868
180	5724	1.14481	-518.687	22.0041	1.11863	-521.297	12.9387	1.11863	-521.297	12.9387
180	5940	1.27219	-522.979	23.1606	1.13599	-529.041	14.0405	1.13599	-529.041	14.0405
180	6156	1.47437	-523.784	25.0859	1.25724	-533.056	13.803	1.25724	-533.056	13.803
180	6372	1.66873	-525.67	25.6068	1.32724	-537.245	13.9324	1.32724	-537.245	13.9324
180	6588	1.83463	-528.385	24.6166	1.49539	-539.977	13.0282	1.49539	-539.977	13.0282
180	6804	1.92507	-532.11	22.9283	1.53765	-543.385	12.4967	1.53765	-543.385	12.4967
180	7020	2.15754	-534.624	22.7236	1.67992	-545.469	11.7235	1.67992	-545.469	11.7235
180	7236	2.58475	-537.447	22.0573	2.48702	-547.196	11.1689	2.48702	-547.196	11.1689
180	7452	2.93944	-540.757	20.8794	3.19284	-549.291	12.5633	3.19284	-549.291	12.5633
180	7668	3.43573	-543.575	22.0632	4.28002	-551.446	14.7457	4.28002	-551.446	14.7457
180	7884	3.3795	-546.166	22.9094	4.10793	-555.282	16.4944	4.10793	-555.282	16.4944
180	8100	2.87768	-545.888	25.7947	2.86072	-557.926	21.0583	2.86072	-557.926	21.0583
180	8316	2.31181	-545.095	26.8192	1.51871	-560.192	22.2898	1.51871	-560.192	22.2898
180	8532	2.30421	-548.316	25.4298	1.6778	-560.164	18.3086	1.6778	-560.164	18.3086
180	8748	2.52011	-552.191	22.7047	2.15681	-562.327	15.3276	2.15681	-562.327	15.3276
180	8964	2.81498	-557.161	21.768	2.88531	-566.547	14.0977	2.88531	-566.547	14.0977
180	9180	3.00048	-558.755	24.5233	3.28013	-570.189	13.8362	3.28013	-570.189	13.8362
180	9396	3.27009	-558.11	24.385	3.60018	-568.413	12.1627	3.60018	-568.413	12.1627
180	9612	3.34517	-552.219	33.2059	3.41588	-565.467	12.2767	3.41588	-565.467	12.2767
180	9828	3.3028	-546.679	35.9834	3.11238	-562.683	12.2088	3.11238	-562.683	12.2088
180	10044	3.34744	-543.983	34.1754	3.06749	-560.856	11.7422	3.06749	-560.856	11.7422
180	10260	3.10689	-545.4	30.2082	2.75974	-561.537	11.3232	2.75974	-561.537	11.3232
180	10476	2.96462	-544.552	28.7911	2.36925	-561.216	10.7314	2.36925	-561.216	10.7314
180	10692	3.01434	-541.011	26.7267	2.43915	-559.222	10.0298	2.43915	-559.222	10.0298
180	10908	3.11878	-539.231	28.0111	2.47137	-555.602	10.8879	2.47137	-555.602	10.8879
180	11124	3.12988	-537.97	26.774	2.51708	-553.281	11.6802	2.51708	-553.281	11.6802
180	11340	3.12876	-538.05	24.2448	2.58423	-553.258	10.3345	2.58423	-553.258	10.3345
180	11556	3.15503	-538.601	24.322	2.47867	-552.733	9.63866	2.47867	-552.733	9.63866
180	11772	3.21143	-537.918	22.8044	2.5444	-550.22	10.4935	2.5444	-550.22	10.4935
180	11988	3.34755	-536.2	22.6342	2.72655	-548.362	10.9539	2.72655	-548.362	10.9539
180	12204	3.42871	-534.025	22.7176	2.90419	-544.909	11.5968	2.90419	-544.909	11.5968
180	12420	3.42695	-533.254	21.2658	2.97013	-541.213	11.3812	2.97013	-541.213	11.3812
180	12636	3.59493	-532.913	20.513	3.15515	-538.866	11.0251	3.15515	-538.866	11.0251
180	12852	3.66909	-532.903	20.7377	3.13132	-539.659	11.477	3.13132	-539.659	11.477
180	13068	3.7626	-533.987	20.4314	3.10771	-541.269	10.3685	3.10771	-541.269	10.3685
180	13284	3.90207	-534.723	19.6439	3.35799	-542.054	8.88004	3.35799	-542.054	8.88004
180	13500	4.199	-536.282	18.4245	3.86589	-542.254	9.23117	3.86589	-542.254	9.23117
180	13716	4.5438	-537.443	17.9809	4.50443	-542.582	10.6128	4.50443	-542.582	10.6128
180	13932	4.53732	-538.643	18.985	4.45598	-543.606	12.2468	4.45598	-543.606	12.2468
180	14148	4.18215	-539.341	19.1018	4.04908	-543.88	13.5301	4.04908	-543.88	13.5301
180	14364	4.08539	-540.965	18.8098	4.24173	-545.625	14.7177	4.24173	-545.625	14.7177
180	14580	3.69187	-541.039	19.4755	3.61482	-544.936	16.9843	3.61482	-544.936	16.9843
180	14796	3.44306	-540.935	20.6648	3.33491	-543.079	19.7594	3.33491	-543.079	19.7594
180	15012	2.53076	-539.587	20.7067	2.51733	-540.298	21.7092	2.51733	-540.298	21.7092
180	15228	2.1043	-538.223	22.8231	1.3509	-535.417	14.7894	1.3509	-535.417	14.7894
180	15444	1.53769	-539.591	23.0648	0.696105	-553.559	9.84174	0.696105	-553.559	9.84174
180	15660	1.36359	-538.905	21.9305	0.82332	-554.747	7.13625	0.82332	-554.747	7.13625
180	15876	1.14429	-542.23	19.2283	0.6694	-553.813	5.81382	0.6694	-553.813	5.81382
180	16092	1.02949	-541.746	18.5392	0.629665	-553.105	4.01892	0.629665	-553.105	4.01892
180	16308	1.0395	-537.763	18.7604	0.59796	-551.507	5.18831	0.59796	-551.507	5.18831
180	16524	0.98044	-535.313	18.0444	0.589455	-544.503	6.36384	0.589455	-544.503	6.36384
180	16740	0.94173	-524.393	18.1128	0.59373	-428.553	6.71424	0.59373	-428.553	6.71424
180	16956	0.821845	-534.154	18.8712	0.270085	-430.284	7.5149	0.270085	-430.284	7.5149
180	17172	0.83302	-522.961	19.5258	0.25648	-431.793	7.49039	0.25648	-431.793	7.49039
180	17388	0.763685	-515.295	21.8144	0.306715	-432.065	8.34212	0.306715	-432.065	8.34212
180	17604	0.723025	-515.118	22.0228	0.311395	-433.556	10.4734	0.311395	-433.556	10.4734
180	17820	0.62709	-513.312	25.0886	0.24726	-438.111	9.6685	0.24726	-438.111	9.6685
180	18036	0.60957	-512.149	34.7418	0.23174	-442.747	9.14688	0.23174	-442.747	9.14688
180	18252	0.494915	-509.171	34.6874	0.21341	-449.8	10.3606	0.21341	-449.8	10.3606
180	18468	0.4357	-508.948	35.2306	0.17389	-455.059	8.35236	0.17389	-455.059	8.35236
180	18684	0.41863	-510.244	35.2116	0.15384	-460.156	7.87595	0.15384	-460.156	7.87595
180	18900	0.45319	-510.096	33.6622	0.13672	-458.486	7.33094	0.13672	-458.486	7.33094
180	19116	0.49736	-510.416	30.5992	0.14613	-456.392	7.46364	0.14613	-456.392	7.46364
180	19332	0.50855	-512.372	26.2743	0.11481	-454.608	6.95129	0.11481	-454.608	6.95129
180	19548	0.60496	-515.459	24.1855	0.17583	-551.333	6.73229	0.17583	-551.333	6.73229
180	19764	0.71708	-518.01	23.0383	0.21871	-548.974	7.21437	0.21871	-548.974	7.21437
180	19980	0.92994	-518.611	21.0078	0.40528	-538.25	7.66215	0.40528	-538.25	7.66215
180	20196	1.09113	-519.036	18.7678	0.70988	-527.443	10.6313	0.70988	-527.443	10.6313
180	20412	1.34794	-518.771	17.3153	1.07715	-526.236	10.6323	1.07715	-526.236	10.6323
180	20628	1.38613	-518.363	15.8243	1.00165	-524.867	9.44089	1.00165	-524.867	9.44089
180	20844	1.41072	-516.826	14.7726	0.939385	-518.474	7.80828	0.939385	-518.474	7.80828
180	21060	1.40025	-515.359	13.7607	0.8527	-516.129	6.94708	0.8527	-516.129	6.94708
180	21276	1.3305	-514.065	13.8733	0.74886	-515.906	6.78243	0.74886	-515.906	6.78243
180	21492	1.39287	-512.344	13.3905	0.843085	-514.314	6.7582	0.843085	-514.314	6.7582
180	21708	1.47884	-510.574	13.6723	0.91646	-512.962	6.09771	0.91646	-512.962	6.09771
180	21924	1.35599	-508.985	14.5306	0.63248	-475.866	5.57806	0.63248	-475.866	5.57806
180	22140	1.10027	-508.239	15.1969	0.3544	-476.848	4.50052	0.3544	-476.848	4.50052
180	22356	1.01643	-508.379	16.2713	0.26401	-473.528	5.60849	0.26401	-473.528	5.60849
180	22572	0.94968	-509.441	15.502	0.23041	-474.7	5.70191	0.23041	-474.7	5.70191
180	22788	0.93104	-509.247	15.2621	0.265395	-474.54	6.08052	0.265395	-474.54	6.08052
180	23004	0.88754	-510.705	15.5416	0.34007	-476.404	5.80632	0.34007	-476.404	5.80632
180	23220	0.98532	-510.848	16.1786	0.44481	-477.568	6.40448	0.44481	-477.568	6.40448
180	23436	1.32819	-512.294	15.464	0.64262	-484.027	8.15794	0.64262	-484.027	8.15794
180	23652	1.76221	-516.62	13.2519	1.00158	-501.9	7.84692	1.00158	-501.9	7.84692
180	23868	1.67091	-508.868	12.409	0.99867	-502.063	5.78447	0.99867	-502.063	5.78447
180	24084	0.69577	-305.308	16.2954	0.38194	-299.524	5.58073	0.38194	-299.524	5.58073
180	24300	0.68204	-302.759	15.9504	0.32253	-298.239	5.21172	0.32253	-298.239	5.21172
180	24516	0.70363	-302.028	15.2779	0.39292	-298.19	5.24209	0.39292	-298.19	5.24209
180	24732	0.71657	-301.904	14.7583	0.4992	-298.283	5.27665	0.4992	-298.283	5.27665
180	24948	0.72971	-301.827	14.1489	0.57391	-298.429	5.06064	0.57391	-298.429	5.06064
180	25164	0.726285	-301.577	13.5229	0.599935	-298.717	5.09051	0.599935	-298.717	5.09051
180	25380	0.70428	-300.92	12.981	0.56745	-298.81	5.06118	0.56745	-298.81	5.06118
180	25596	0.65046	-300.741	12.4447	0.45657	-299.103	4.66187	0.45657	-299.103	4.66187
180	25812	0.618815	-300.591	12.2556	0.436085	-299.485	4.94635	0.436085	-299.485	4.94635
180	26028	0.37776	-300.058	11.9315	0.25729	-299.579	4.72106	0.25729	-299.579	4.72106
180	26244	0.137825	-299.359	11.729	0.10517	-298.954	4.94211	0.10517	-298.954	4.94211
180	26460	0.108235	-298.627	11.6393	0.10812	-298.367	4.95241	0.10812	-298.367	4.95241
180	26676	0.088525	-299.385	11.3328	0.09891	-297.918	4.86854	0.09891	-297.918	4.86854
180	26892	0.5058	-300.6	11.6733	0.246665	-298.715	4.93453	0.246665	-298.715	4.93453
180	27108	0.061075	-299.752	11.5448	0.137095	-298.185	4.47715	0.137095	-298.185	4.47715
180	27324	0.45995	-300.092	11.3393	0.167955	-298.401	4.91329	0.167955	-298.401	4.91329
180	27540	0.46006	-300.679	12.4827	0.116195	-294.932	5.67488	0.116195	-294.932	5.67488
180	27756	0.427155	-300.781	12.3826	0.125655	-293.867	5.84728	0.125655	-293.867	5.84728
180	27972	0.400325	-301.21	12.3698	0.13275	-295.456	5.77042	0.13275	-295.456	5.77042
180	28188	0.035595	-301.575	12.359	0.12774	-251.326	5.81556	0.12774	-251.326	5.81556
180	28404	0.037825	-302.299	7.64982	0.12078	-249.948	5.82439	0.12078	-249.948	5.82439
180	28620	0.039195	-301.383	7.48002	0.104	-250.713	5.50178	0.104	-250.713	5.50178
180	28836	0.33583	-300.898	13.0425	0.10162	-252.817	5.85224	0.10162	-252.817	5.85224
180	29052	0.326725	-300.434	12.8389	0.10991	-291.79	5.9291	0.10991	-291.79	5.9291
180	29268	0.31344	-299.919	12.6791	0.12031	-293.059	5.84651	0.12031	-293.059	5.84651
180	29484	0.29724	-298.467	12.2097	0.11738	-293.527	5.18513	0.11738	-293.527	5.18513
180	29700	0.291795	-298.226	11.2355	0.10955	-294.084	4.55157	0.10955	-294.084	4.55157
180	29916	0.28435	-297.934	10.5094	0.10659	-295.224	4.52246	0.10659	-295.224	4.52246
180	30132	0.27941	-297.025	10.0913	0.1102	-293.675	4.1355	0.1102	-293.675	4.1355
180	30348	0.25563	-297.101	9.88836	0.11072	-292.107	4.30314	0.11072	-292.107	4.30314
180	30564	0.026555	-295.613	9.34438	0.10719	-292.52	4.48049	0.10719	-292.52	4.48049
180	30780	0.25485	-295.833	10.003	0.1101	-291.158	4.3852	0.1101	-291.158	4.3852
180	30996	0.03292	-297.035	9.77583	0.1073	-280.189	4.3249	0.1073	-280.189	4.3249
180	31212	0.227775	-296.485	9.68886	0.11258	-281.951	4.35477	0.11258	-281.951	4.35477
180	31428	0.253435	-294.757	9.80145	0.12087	-290.764	4.48184	0.12087	-290.764	4.48184
180	31644	0.288215	-294.871	9.3767	0.144265	-290.572	4.66044	0.144265	-290.572	4.66044
180	31860	0.30052	-294.765	9.49	0.188975	-290.494	4.90018	0.188975	-290.494	4.90018
180	32076	0.295935	-294.518	9.57996	0.18013	-290.766	4.18817	0.18013	-290.766	4.18817
180	32292	0.28761	-294.977	10.0316	0.16094	-290.308	4.54289	0.16094	-290.308	4.54289
180	32508	0.27025	-294.619	9.99994	0.14417	-288.573	4.43066	0.14417	-288.573	4.43066
180	32724	0.24303	-293.809	9.26706	0.11596	-289.865	4.91038	0.11596	-289.865	4.91038
180	32940	0.21943	-293.296	8.58544	0.10483	-287.45	4.74631	0.10483	-287.45	4.74631
180	33156	0.18898	-293.832	8.05666	0.102085	-287.227	4.73155	0.102085	-287.227	4.73155
180	33372	0.17614	-294.221	7.76266	0.09885	-287.782	4.45608	0.09885	-287.782	4.45608
180	33588	0.16585	-293.786	7.3922	0.09815	-287.136	4.4413	0.09815	-287.136	4.4413
180	33804	0.16143	-293.152	7.89157	0.09842	-283.511	4.39991	0.09842	-283.511	4.39991
180	34020	0.17819	-292.357	7.05358	0.12722	-285.695	4.45774	0.12722	-285.695	4.45774
180	34236	0.16174	-291.467	6.7241	0.12448	-285.748	4.49483	0.12448	-285.748	4.49483
180	34452	0.164355	-290.995	6.78151	0.153375	-285.081	4.43096	0.153375	-285.081	4.43096
180	34668	0.151005	-290.559	6.86893	0.17361	-285.367	5.1112	0.17361	-285.367	5.1112
