alpha	r	x1_mom0	x1_mom1	x1_mom2	x2_mom0	x2_mom1	x2_mom2	x3_mom0	x3_mom1	x3_mom2
180	108									
180	324									
180	540	0.37555	-304.269	22.2017	0.06344	-222.48	6.51027	0.06344	-222.48	6.51027
180	756	0.391937	-311.111	23.9278	0.0621575	-271.392	4.41324	0.0621575	-271.392	4.41324
180	972	0.398105	-313.649	24.5096	0.082915	-299.769	6.25631	0.082915	-299.769	6.25631
180	1188	0.37273	-315.632	25.0028	0.12152	-309.009	7.4788	0.12152	-309.009	7.4788
180	1404	0.303965	-317.739	24.2106	0.191075	-459.359	10.6598	0.191075	-459.359	10.6598
180	1620	0.248805	-330.036	24.7811	0.1643	-545.306	12.0522	0.1643	-545.306	12.0522
180	1836	0.16469	-500.535	19.5125	0.164032	-523.835	11.0046	0.164032	-523.835	11.0046
180	2052	0.12755	-331.239	19.4036	0.0681	-559.989	7.42228	0.0681	-559.989	7.42228
180	2268	0.09747	-517.678	12.9082	0.142377	-532.851	10.3095	0.142377	-532.851	10.3095
180	2484	0.06285	-418.728	12.9465	0.071615	-556.61	6.53776	0.071615	-556.61	6.53776
180	2700	0.18077	-376.501	23.8642	0.07833	-302.424	6.8778	0.07833	-302.424	6.8778
180	2916	0.409073	-371.958	45.681	0.183987	-300.845	9.26343	0.183987	-300.845	9.26343
180	3132	0.185435	-373.552	21.8086	0.228735	-402.828	8.79634	0.228735	-402.828	8.79634
180	3348	0.16881	-410.142	19.5261	0.25592	-407.887	9.38983	0.25592	-407.887	9.38983
180	3564	0.142525	-421.387	14.4074	0.144333	-408.233	5.53428	0.144333	-408.233	5.53428
180	3780	0.26565	-413.079	29.7564	0.17284	-406.206	6.7742	0.17284	-406.206	6.7742
180	3996	0.306033	-446.039	34.667	0.165068	-412.084	8.10119	0.165068	-412.084	8.10119
180	4212	0.390345	-455.483	28.9777	0.216853	-468.822	13.9192	0.216853	-468.822	13.9192
180	4428	0.52059	-461.982	33.7662	0.32555	-478.447	16.0758	0.32555	-478.447	16.0758
180	4644	0.58195	-477.348	28.5971	0.3463	-490.496	12.3317	0.3463	-490.496	12.3317
180	4860	0.662327	-495.574	25.9979	0.592495	-499.89	13.0121	0.592495	-499.89	13.0121
180	5076	0.861812	-501.683	25.3261	0.994245	-507.699	13.9552	0.994245	-507.699	13.9552
180	5292	0.99003	-507.611	25.5066	1.08071	-511.199	14.088	1.08071	-511.199	14.088
180	5508	1.07235	-515.016	19.0572	1.16132	-516.719	11.5892	1.16132	-516.719	11.5892
180	5724	1.08974	-520.825	18.6059	1.10484	-524.277	12.4644	1.10484	-524.277	12.4644
180	5940	1.21237	-524.14	20.6575	1.08305	-530.668	13.0473	1.08305	-530.668	13.0473
180	6156	1.41751	-525.325	23.8865	1.14375	-534.442	13.55	1.14375	-534.442	13.55
180	6372	1.611	-527.434	24.3458	1.24995	-538.244	13.6759	1.24995	-538.244	13.6759
180	6588	1.76529	-530.72	23.3304	1.3834	-541.51	12.4529	1.3834	-541.51	12.4529
180	6804	1.88059	-533.029	21.9471	1.42048	-543.997	11.8907	1.42048	-543.997	11.8907
180	7020	1.98792	-535.649	21.6263	1.41204	-546.274	11.4627	1.41204	-546.274	11.4627
180	7236	2.35169	-538.545	21.327	1.94768	-548.193	10.82	1.94768	-548.193	10.82
180	7452	2.77426	-541.914	19.8087	2.80853	-549.892	10.9808	2.80853	-549.892	10.9808
180	7668	3.26656	-544.158	20.6671	3.90695	-552.573	11.9002	3.90695	-552.573	11.9002
180	7884	3.26137	-546.959	21.5573	3.74251	-557.608	15.5563	3.74251	-557.608	15.5563
180	8100	2.5559	-547.003	22.8788	2.05078	-560.071	18.7038	2.05078	-560.071	18.7038
180	8316	2.21483	-547.07	25.4722	1.21982	-562.532	20.7723	1.21982	-562.532	20.7723
180	8532	2.15077	-550.052	22.4201	1.11648	-561.369	17.5082	1.11648	-561.369	17.5082
180	8748	2.42502	-555.535	20.2237	1.89599	-564.132	14.054	1.89599	-564.132	14.054
180	8964	2.71272	-560.671	18.7628	2.67276	-568.588	13.4203	2.67276	-568.588	13.4203
180	9180	2.78234	-562.865	23.2115	2.81595	-573.352	12.7548	2.81595	-573.352	12.7548
180	9396	3.05431	-562.573	22.4211	3.32698	-575.281	11.5191	3.32698	-575.281	11.5191
180	9612	3.25375	-556.406	26.4319	3.07091	-574.246	11.2627	3.07091	-574.246	11.2627
180	9828	3.16068	-553.089	28.6006	2.65191	-568.272	10.8458	2.65191	-568.272	10.8458
180	10044	2.97842	-548.634	28.8462	2.26449	-563.501	10.705	2.26449	-563.501	10.705
180	10260	2.82931	-547.053	29.4224	2.08284	-562.697	10.0948	2.08284	-562.697	10.0948
180	10476	2.72364	-547.022	26.5306	1.92023	-562.033	9.27592	1.92023	-562.033	9.27592
180	10692	2.78734	-544.806	25.5618	1.80385	-560.342	8.82298	1.80385	-560.342	8.82298
180	10908	2.90068	-540.976	25.7821	1.93588	-556.909	9.19598	1.93588	-556.909	9.19598
180	11124	2.98607	-540.829	23.4538	2.11383	-555.033	9.92649	2.11383	-555.033	9.92649
180	11340	2.98511	-541.146	22.7365	2.06422	-555.362	9.49948	2.06422	-555.362	9.49948
180	11556	2.87711	-540.105	22.0023	1.89099	-555.063	8.55493	1.89099	-555.063	8.55493
180	11772	2.98333	-538.929	21.3853	1.9056	-552.791	9.15129	1.9056	-552.791	9.15129
180	11988	3.13516	-537.888	21.9248	2.19737	-549.567	9.89194	2.19737	-549.567	9.89194
180	12204	3.24044	-536.52	20.6408	2.32991	-546.573	10.4968	2.32991	-546.573	10.4968
180	12420	3.18649	-534.218	20.0906	2.22417	-542.549	11.0452	2.22417	-542.549	11.0452
180	12636	3.23149	-533.342	19.1483	2.20528	-541.17	10.3317	2.20528	-541.17	10.3317
180	12852	3.32044	-533.366	19.4458	2.30198	-541.065	9.81674	2.30198	-541.065	9.81674
180	13068	3.5586	-534.385	18.7346	2.74751	-541.951	9.70865	2.74751	-541.951	9.70865
180	13284	3.74946	-535.445	18.3576	2.64952	-543.853	8.39782	2.64952	-543.853	8.39782
180	13500	4.0214	-537.164	17.8073	3.31825	-544.076	8.58961	3.31825	-544.076	8.58961
180	13716	4.25021	-538.495	17.4948	4.30024	-543.425	9.90217	4.30024	-543.425	9.90217
180	13932	4.02319	-539.192	18.0618	3.95204	-544.778	11.2148	3.95204	-544.778	11.2148
180	14148	3.6761	-539.912	18.467	3.31951	-547.751	12.4699	3.31951	-547.751	12.4699
180	14364	3.41918	-541.747	18.2246	2.99124	-549.496	13.5708	2.99124	-549.496	13.5708
180	14580	3.01911	-542.223	18.3589	2.75151	-547.639	14.3851	2.75151	-547.639	14.3851
180	14796	2.55836	-542.211	18.6841	2.21153	-547.113	12.0492	2.21153	-547.113	12.0492
180	15012	2.1186	-541.857	19.7424	1.36869	-548.011	10.2887	1.36869	-548.011	10.2887
180	15228	1.66187	-540.234	20.9733	0.77994	-551.009	10.6816	0.77994	-551.009	10.6816
180	15444	1.46168	-540.907	21.562	0.482327	-555.222	7.79458	0.482327	-555.222	7.79458
180	15660	1.25595	-543.212	19.076	0.654608	-556.269	5.86772	0.654608	-556.269	5.86772
180	15876	1.04884	-543.781	18.0007	0.5973	-556.59	3.98376	0.5973	-556.59	3.98376
180	16092	0.965723	-542.508	17.0305	0.51233	-554.863	3.31814	0.51233	-554.863	3.31814
180	16308	0.89218	-541.481	17.2028	0.33939	-553.271	3.47786	0.33939	-553.271	3.47786
180	16524	0.912207	-541.724	16.4392	0.460893	-552.023	4.22443	0.460893	-552.023	4.22443
180	16740	0.81606	-540.365	14.7625	0.32005	-551.11	3.94527	0.32005	-551.11	3.94527
180	16956	0.655873	-539.079	15.7884	0.15942	-549.921	4.88291	0.15942	-549.921	4.88291
180	17172	0.74341	-537.371	18.29	0.21509	-551.385	4.03386	0.21509	-551.385	4.03386
180	17388	0.653508	-534.718	19.1753	0.225785	-552.398	4.27872	0.225785	-552.398	4.27872
180	17604	0.644555	-532.098	19.6287	0.222285	-520.752	7.20229	0.222285	-520.752	7.20229
180	17820	0.55384	-525.784	19.9446	0.20069	-516.942	6.43816	0.20069	-516.942	6.43816
180	18036	0.488515	-518.311	22.4099	0.150065	-496.956	5.88003	0.150065	-496.956	5.88003
180	18252	0.447332	-514.327	23.3998	0.16068	-481.972	7.43663	0.16068	-481.972	7.43663
180	18468	0.4066	-513.523	25.3203	0.08679	-483.864	6.53025	0.08679	-483.864	6.53025
180	18684	0.391385	-514.017	23.8603	0.080935	-560.611	6.21813	0.080935	-560.611	6.21813
180	18900	0.401225	-512.322	25.1062	0.084765	-473.86	6.10402	0.084765	-473.86	6.10402
180	19116	0.4279	-512.253	22.7559	0.078245	-474.564	5.29218	0.078245	-474.564	5.29218
180	19332	0.467405	-514.136	20.7329	0.065185	-556.089	5.37725	0.065185	-556.089	5.37725
180	19548	0.54216	-519.451	19.7624	0.1083	-554.064	5.25969	0.1083	-554.064	5.25969
180	19764	0.65125	-521.412	19.9286	0.15326	-551.681	6.00088	0.15326	-551.681	6.00088
180	19980	0.81589	-521.145	18.5559	0.25069	-548.134	6.18507	0.25069	-548.134	6.18507
180	20196	0.99892	-521.76	16.0664	0.479695	-538.878	7.59899	0.479695	-538.878	7.59899
180	20412	1.18174	-521.073	15.8164	0.82975	-528.677	9.48866	0.82975	-528.677	9.48866
180	20628	1.30385	-520.344	14.8014	0.808353	-527.213	7.8152	0.808353	-527.213	7.8152
180	20844	1.23987	-518.801	13.8432	0.70439	-524.621	7.0453	0.70439	-524.621	7.0453
180	21060	1.21306	-516.958	13.0565	0.604155	-518.04	5.31751	0.604155	-518.04	5.31751
180	21276	1.08815	-514.874	12.9221	0.49257	-518.18	5.27437	0.49257	-518.18	5.27437
180	21492	0.812755	-513.299	12.6403	0.52138	-517.503	5.40805	0.52138	-517.503	5.40805
180	21708	0.769572	-511.652	12.9175	0.551863	-515.006	3.60629	0.551863	-515.006	3.60629
180	21924	0.742903	-510.133	13.2468	0.29634	-513.991	3.65556	0.29634	-513.991	3.65556
180	22140	0.718058	-509.434	13.3211	0.26458	-513.176	3.36016	0.26458	-513.176	3.36016
180	22356	0.705028	-511.562	14.3782	0.19764	-477.915	4.30344	0.19764	-477.915	4.30344
180	22572	0.707917	-513.48	14.3236	0.180622	-477.35	4.59823	0.180622	-477.35	4.59823
180	22788	0.698028	-513.204	14.6301	0.19764	-476.73	4.88124	0.19764	-476.73	4.88124
180	23004	0.79633	-513.02	12.6035	0.23931	-477.556	4.26352	0.23931	-477.556	4.26352
180	23220	0.80095	-515.182	13.7986	0.29581	-495.39	4.17994	0.29581	-495.39	4.17994
180	23436	0.973665	-518.927	13.5343	0.47355	-497.17	5.5476	0.47355	-497.17	5.5476
180	23652	1.25049	-528.088	11.5011	0.49823	-539.37	5.34063	0.49823	-539.37	5.34063
180	23868	0.69941	-527.653	11.295	0.38097	-539.185	3.79851	0.38097	-539.185	3.79851
180	24084	0.515065	-308.925	10.6522	0.240365	-343.368	3.63218	0.240365	-343.368	3.63218
180	24300	0.281295	-305.257	10.1716	0.15744	-299.534	3.56485	0.15744	-299.534	3.56485
180	24516	0.26925	-304.382	10.166	0.20445	-301.032	3.86361	0.20445	-301.032	3.86361
180	24732	0.275605	-303.924	10.2063	0.222445	-302.478	4.21829	0.222445	-302.478	4.21829
180	24948	0.248075	-303.906	10.26	0.197445	-300.668	4.08129	0.197445	-300.668	4.08129
180	25164	0.210405	-303.904	10.5476	0.146172	-300.073	4.12601	0.146172	-300.073	4.12601
180	25380	0.173945	-303.978	10.5885	0.110008	-299.745	4.19642	0.110008	-299.745	4.19642
180	25596	0.14346	-303.962	10.504	0.09894	-300.216	3.45645	0.09894	-300.216	3.45645
180	25812	0.12683	-303.4	10.5061	0.094625	-301.041	3.33161	0.094625	-301.041	3.33161
180	26028	0.10087	-302.084	10.5724	0.0859025	-301.421	3.2335	0.0859025	-301.421	3.2335
180	26244	0.08681	-301.545	10.5442	0.083775	-299.977	3.96259	0.083775	-299.977	3.96259
180	26460	0.0682525	-301.891	9.88194	0.0756925	-299.788	4.0149	0.0756925	-299.788	4.0149
180	26676	0.0564875	-302.07	8.8083	0.0743475	-300.04	4.15738	0.0743475	-300.04	4.15738
180	26892	0.04828	-302.273	8.22172	0.07736	-299.995	3.8564	0.07736	-299.995	3.8564
180	27108	0.042585	-301.801	7.5006	0.078525	-299.668	3.57337	0.078525	-299.668	3.57337
180	27324	0.03073	-303.038	6.13745	0.08336	-301.495	4.01859	0.08336	-301.495	4.01859
180	27540	0.02635	-303.235	5.69639	0.093065	-298.767	4.45144	0.093065	-298.767	4.45144
180	27756	0.0206425	-303.346	5.00297	0.0894575	-299.405	4.79683	0.0894575	-299.405	4.79683
180	27972	0.020125	-304.633	4.59619	0.090055	-298.206	4.78748	0.090055	-298.206	4.78748
180	28188	0.0237325	-304.941	4.49118	0.091735	-296.18	4.87913	0.091735	-296.18	4.87913
180	28404	0.02806	-305.904	4.95094	0.09197	-295.377	4.75516	0.09197	-295.377	4.75516
180	28620	0.029605	-305.556	5.20594	0.08572	-295.066	4.67145	0.08572	-295.066	4.67145
180	28836	0.0283125	-305.436	5.97785	0.08607	-336.367	4.6372	0.08607	-336.367	4.6372
180	29052	0.0221275	-304.965	6.33465	0.0904625	-338.023	4.6531	0.0904625	-338.023	4.6531
180	29268	0.016385	-302.585	5.66662	0.08353	-296.744	4.44184	0.08353	-296.744	4.44184
180	29484	0.01385	-300.094	4.26102	0.0803925	-296.224	4.21082	0.0803925	-296.224	4.21082
180	29700	0.0156075	-299.965	4.60558	0.07955	-329.793	3.67919	0.07955	-329.793	3.67919
180	29916	0.01298	-299.945	4.53036	0.08133	-328.963	3.54725	0.08133	-328.963	3.54725
180	30132	0.01396	-299.238	4.50575	0.079395	-297.558	2.99008	0.079395	-297.558	2.99008
180	30348	0.0132925	-299.756	4.65429	0.08714	-295.573	3.01845	0.08714	-295.573	3.01845
180	30564	0.0137625	-298.876	4.36814	0.08922	-295.132	3.27421	0.08922	-295.132	3.27421
180	30780	0.01604	-298.669	4.21366	0.08401	-294.316	3.52778	0.08401	-294.316	3.52778
180	30996	0.01566	-303.272	4.18674	0.07658	-293.528	3.63167	0.07658	-293.528	3.63167
180	31212	0.0134725	-305.116	3.93253	0.069405	-293.208	3.69367	0.069405	-293.208	3.69367
180	31428	0.01526	-297.977	5.15143	0.077085	-293.09	3.71316	0.077085	-293.09	3.71316
180	31644	0.0134525	-298.065	7.2079	0.071495	-293.509	3.51771	0.071495	-293.509	3.51771
180	31860	0.01099	-297.773	8.0231	0.0832425	-293.931	4.07895	0.0832425	-293.931	4.07895
180	32076	0.00917	-297.544	8.84222	0.07995	-293.872	2.78168	0.07995	-293.872	2.78168
180	32292	0.014695	-298.461	9.31885	0.07169	-293.767	3.33198	0.07169	-293.767	3.33198
180	32508	0.0130175	-299.213	8.86179	0.07535	-291.055	3.45858	0.07535	-291.055	3.45858
180	32724	0.0119	-297.177	5.01361	0.0832375	-293.654	3.38835	0.0832375	-293.654	3.38835
180	32940	0.01082	-295.211	5.15864	0.08139	-292.089	3.29986	0.08139	-292.089	3.29986
180	33156	0.011085	-298.488	5.23334	0.0805725	-292.338	3.70004	0.0805725	-292.338	3.70004
180	33372	0.013445	-307.049	6.0386	0.0830325	-293.062	3.39073	0.0830325	-293.062	3.39073
180	33588	0.012495	-307.354	6.14055	0.08336	-290.913	3.44078	0.08336	-290.913	3.44078
180	33804	0.00895	-297.236	6.18224	0.0701475	-289.789	2.9127	0.0701475	-289.789	2.9127
180	34020	0.00904	-295.428	6.26633	0.07804	-289.295	3.40903	0.07804	-289.295	3.40903
180	34236	0.0142675	-295.084	5.32923	0.088075	-289.487	3.14402	0.088075	-289.487	3.14402
180	34452	0.0221825	-294.356	6.01244	0.111168	-288.236	3.15718	0.111168	-288.236	3.15718
