  id    ra_pix    dec_pix    major    minor    pa  ra_hms     dec_dms        maj_as    min_as    vmin_kms    vmax_kms    collide    v1    v2    v_ang  good    date
   1      2133        487       36       25   130  0:38:06.9  +39:50:57.7       140       140        -530        -460          0  -520  -465      158  vv      250430-1705
   2      2024        494       24       20   145  0:39:27.2  +39:50:19.2       150       120        -470        -430          0  -467  -437       68  vv      250430-1705
   3      2068        497       19       16    90  0:37:47.0  +39:52:01.8       105        80        -515        -480          0  -510  -488      158  pp      250430-1705
   4      2283        546       21       18    90  0:37:09.3  +39:54:51.7       120       100        -530        -490          0  -523  -500      128  nn      250430-1705
   5      2215        562       23       22     0  0:37:33.8  +39:57:07.0       100       100        -530        -505          0  -530  -512      128  pp      250430-1706
   6      2343        567       24       19     0  0:36:36.1  +39:57:41.6        95        95        -550        -500          0  -550  -500      158  pp      250407-1503
   7      2018        568       25       25     0  0:38:56.0  +39:58:02.7       120       120        -490        -440          0  -478  -455       68  pv      250407-1507
   8      2125        579       26       22     0  0:38:12.8  +39:59:08.3       110       110        -530        -480          0  -515  -500       68  pv      250407-1510
   9      2210        590       36       33     0  0:37:35.8  +40:00:00.4       150       115        -550        -500          0  -542  -514       98  pv      250407-1529
  10      2054        600       43       37     0  0:38:44.6  +40:01:17.7       180       130        -530        -470          0  -512  -486      158  pp      250430-1707
  11      1955        610       23       20   130  0:39:25.7  +40:01:32.9       110        70        -480        -425          0  -465  -440      158  pv      250407-1554
  12      2149        620       20       17     0  0:38:02.1  +40:02:01.7        70        70        -490        -431          0  -490  -431      158  pp      250407-1616
  13      2260        626       35       34    90  0:37:14.8  +40:01:43.6       165       140        -545        -500          0  -538  -504       98  pv      250407-1621
  14      1807        666       32       31     0  0:40:30.9  +40:06:28.8       120       120        -460        -400          0  -460  -400       38  nn      250407-1623
  15      1973        694       46       45    90  0:39:18.5  +40:08:42.1       180       180        -535        -500          0  -533  -508       98  vv      250407-1627
  16      1888        724       29       26   130  0:39:55.4  +40:10:15.9       145       100        -540        -420          0  -520  -440       68  pp      250408-1553
  17      2265        724       34       26    80  0:37:10.9  +40:10:53.2       170       130        -530        -480          0  -530  -480       38  nn      250408-1554
  18      2036        728       31       20   120  0:38:47.8  +40:11:08.8       145       100        -560        -480          0  -540  -480      128  vv      250430-1708
  19      2138        729       21       20    90  0:38:08.0  +40:11:07.5        70        60        -550        -490          0  -530  -500       68  pp      250430-1708
  20      2075        751       29       23     0  0:38:26.4  +40:15:11.5       120       120        -540        -420          0  -540  -440       38  vv      250430-1709
  21      2209        752       17       15     0  0:37:35.2  +40:13:17.5        85        75        -550        -450          0  -550  -450       38  nn      250408-1611
  22      2151        759       31       31   140  0:38:00.5  +40:12:46.7       160       100        -510        -420          0  -495  -435       98  pv      250408-1617
  23      2312        765       35       33     0  0:36:50.1  +40:14:14.4       175       165        -473        -445          0  -473  -445       38  nn      250408-1620
  24      1720        774       27       18   110  0:41:10.0  +40:15:31.3        95        75        -425        -385          0  -420  -400      128  pv      250408-1625
  25      2016        782       35       32    90  0:39:18.3  +40:15:00.0       200       170        -535        -500          0  -535  -500       38  pp      250408-1633
  26      1982        783       46       46     0  0:39:14.2  +40:16:06.7       360       360        -550        -450          0  -545  -465       68  pv      250408-1638
  27      2250        791       18       15    80  0:37:17.0  +40:16:29.4        90        75        -550        -470          0  -550  -470       38  nn      250408-1639
  28      1843        800       41       24   130  0:40:14.8  +40:17:37.7       195       120        -510        -440          0  -500  -455      128  pv      250408-1643
  29      2184        808       21       18     0  0:37:45.8  +40:17:39.4        90        90        -540        -510          0  -540  -510       38  nn      250408-1646
  30      1867        818       21       19     0  0:39:55    +40:20:06.8       200       150        -505        -460          0  -505  -460       38  vv      250408-1707
  31      1707        829       27       22     0  0:41:14.2  +40:20:06.6       135       110        -480        -420          0  -480  -420       38  nn      250408-1709
  32      1949        829       12       11    80  0:39:28.4  +40:19:28.3       140       120        -575        -520          0  -570  -535       68  pv      250408-1713
  33      2101        830       28       26     0  0:38:21.9  +40:19:55.0       140       110        -560        -520          0  -560  -520       38  nn      250408-1715
  34      1800        831       25       17   120  0:40:30.5  +40:20:14.2       125        85        -480        -400          0  -480  -400       38  nn      250408-1717
  35      2027        837       19       18     0  0:38:55.2  +40:20:14.3        75        75        -515        -460          0  -510  -465       68  pv      250408-1721
  36      1759        842       21       20     0  0:40:51.4  +40:21:00.4        80        80        -540        -500          0  -532  -505      158  vv      250409-1102
  37      1883        843       11        9   140  0:39:42.2  +40:21:51.2       100        80        -555        -510          0  -555  -530       68  pp      250409-1108
  38      2201        844       22       19     0  0:37:38.1  +40:20:58.2       110        95        -480        -455          0  -480  -455       38  nn      250409-1110
  39      1999        852       15       14    80  0:39:06.4  +40:21:42.9       100        85        -540        -500          0  -538  -502       68  pv      250409-1132
